Title_Name,Title_URL,Script_URL
Boondock Saints 2: All Saints Day,https://www.imsdb.com/Movie%20Scripts/Boondock%20Saints%202:%20All%20Saints%20Day%20Script.html,https://www.imsdb.com/scripts/Boondock-Saints-2-All-Saints-Day.html
"Bounty Hunter, The","https://www.imsdb.com/Movie%20Scripts/Bounty%20Hunter,%20The%20Script.html","https://www.imsdb.com/scripts/Bounty-Hunter,-The.html"
"Bourne Identity, The","https://www.imsdb.com/Movie%20Scripts/Bourne%20Identity,%20The%20Script.html","https://www.imsdb.com/scripts/Bourne-Identity,-The.html"
"Bourne Supremacy, The","https://www.imsdb.com/Movie%20Scripts/Bourne%20Supremacy,%20The%20Script.html","https://www.imsdb.com/scripts/Bourne-Supremacy,-The.html"
"Bourne Ultimatum, The","https://www.imsdb.com/Movie%20Scripts/Bourne%20Ultimatum,%20The%20Script.html","https://www.imsdb.com/scripts/Bourne-Ultimatum,-The.html"
Braveheart,https://www.imsdb.com/Movie%20Scripts/Braveheart%20Script.html,https://www.imsdb.com/scripts/Braveheart.html
Breakdown,https://www.imsdb.com/Movie%20Scripts/Breakdown%20Script.html,https://www.imsdb.com/scripts/Breakdown.html
Broken Arrow,https://www.imsdb.com/Movie%20Scripts/Broken%20Arrow%20Script.html,https://www.imsdb.com/scripts/Broken-Arrow.html
Buffy the Vampire Slayer,https://www.imsdb.com/Movie%20Scripts/Buffy%20the%20Vampire%20Slayer%20Script.html,https://www.imsdb.com/scripts/Buffy-the-Vampire-Slayer.html
Cars 2,https://www.imsdb.com/Movie%20Scripts/Cars%202%20Script.html,https://www.imsdb.com/scripts/Cars-2.html
Catwoman,https://www.imsdb.com/Movie%20Scripts/Catwoman%20Script.html,https://www.imsdb.com/scripts/Catwoman.html
Cellular,https://www.imsdb.com/Movie%20Scripts/Cellular%20Script.html,https://www.imsdb.com/scripts/Cellular.html
Chaos,https://www.imsdb.com/Movie%20Scripts/Chaos%20Script.html,https://www.imsdb.com/scripts/Chaos.html
Charlie's Angels,https://www.imsdb.com/Movie%20Scripts/Charlie's%20Angels%20Script.html,https://www.imsdb.com/scripts/Charlie's-Angels.html
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe","https://www.imsdb.com/Movie%20Scripts/Chronicles%20of%20Narnia:%20The%20Lion,%20the%20Witch%20and%20the%20Wardrobe%20Script.html","https://www.imsdb.com/scripts/Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe.html"
Cirque du Freak: The Vampire's Assistant,https://www.imsdb.com/Movie%20Scripts/Cirque%20du%20Freak:%20The%20Vampire's%20Assistant%20Script.html,https://www.imsdb.com/scripts/Cirque-du-Freak-The-Vampire's-Assistant.html
Clash of the Titans,https://www.imsdb.com/Movie%20Scripts/Clash%20of%20the%20Titans%20Script.html,https://www.imsdb.com/scripts/Clash-of-the-Titans.html
Cliffhanger,https://www.imsdb.com/Movie%20Scripts/Cliffhanger%20Script.html,https://www.imsdb.com/scripts/Cliffhanger.html
Code of Silence,https://www.imsdb.com/Movie%20Scripts/Code%20of%20Silence%20Script.html,https://www.imsdb.com/scripts/Code-of-Silence.html
Collateral,https://www.imsdb.com/Movie%20Scripts/Collateral%20Script.html,https://www.imsdb.com/scripts/Collateral.html
